face_index,ground_truth_id,ground_truth_label,A_pred,A_confidence,A_pStock,A_pThread,A_pText,B_pred,B_confidence,B_pStock,B_pThread,B_pText,C_pred,C_confidence,C_pStock,C_pThread,C_pText,D_pred,D_confidence,D_pStock,D_pThread,D_pText,FrozenLast_pred,FrozenLast_confidence,FrozenLast_pStock,FrozenLast_pThread,FrozenLast_pText,FrozenBestV3_pred,FrozenBestV3_confidence,FrozenBestV3_pStock,FrozenBestV3_pThread,FrozenBestV3_pText,Scratch70K_pred,Scratch70K_confidence,Scratch70K_pStock,Scratch70K_pThread,Scratch70K_pText
252,1,Thread,Thread,0.64473510,0.34092030,0.64473510,0.01434465,Thread,0.99907577,0.00089963,0.99907577,0.00002451,Thread,0.95263320,0.04668482,0.95263320,0.00068191,Stock,0.96461660,0.96461660,0.03327879,0.00210459,Stock,0.91052079,0.91052079,0.08789497,0.00158427,Stock,0.94434679,0.94434679,0.05407586,0.00157744,Thread,0.99669218,0.00326372,0.99669218,0.00004406
253,1,Thread,Thread,0.64442688,0.34122524,0.64442688,0.01434783,Thread,0.99932599,0.00065863,0.99932599,0.00001540,Thread,0.97089350,0.02858040,0.97089350,0.00052616,Stock,0.96028322,0.96028322,0.03742077,0.00229597,Stock,0.89675093,0.89675093,0.10150129,0.00174779,Stock,0.94486117,0.94486117,0.05357502,0.00156388,Thread,0.99694258,0.00301787,0.99694258,0.00003958
254,1,Thread,Thread,0.70484346,0.28151748,0.70484346,0.01363903,Thread,0.99908650,0.00088771,0.99908650,0.00002590,Thread,0.97473347,0.02483049,0.97473347,0.00043608,Stock,0.94662231,0.94662231,0.05094421,0.00243357,Stock,0.82018882,0.82018882,0.17704558,0.00276560,Stock,0.91532117,0.91532117,0.08288261,0.00179626,Thread,0.99993730,0.00006148,0.99993730,0.00000116
255,1,Thread,Thread,0.64522606,0.34044284,0.64522606,0.01433112,Thread,0.99903166,0.00094202,0.99903166,0.00002628,Thread,0.95399868,0.04532382,0.95399868,0.00067750,Stock,0.95956475,0.95956475,0.03815728,0.00227797,Stock,0.91051733,0.91051733,0.08789843,0.00158429,Stock,0.94347525,0.94347525,0.05493057,0.00159418,Thread,0.99669230,0.00326366,0.99669230,0.00004406
256,1,Thread,Thread,0.64481401,0.34084669,0.64481401,0.01433932,Thread,0.99932599,0.00065866,0.99932599,0.00001540,Thread,0.97136748,0.02810833,0.97136748,0.00052425,Stock,0.95475680,0.95475680,0.04274651,0.00249671,Stock,0.89519250,0.89519250,0.10300539,0.00180214,Stock,0.94441092,0.94441092,0.05401323,0.00157579,Thread,0.99703693,0.00292518,0.99703693,0.00003787
257,1,Thread,Thread,0.70489377,0.28146622,0.70489377,0.01364008,Thread,0.99894553,0.00102154,0.99894553,0.00003302,Thread,0.97466385,0.02489703,0.97466385,0.00043915,Stock,0.94580984,0.94580984,0.05174809,0.00244203,Stock,0.81445396,0.81445396,0.18289173,0.00265423,Stock,0.89367813,0.89367813,0.10427418,0.00204767,Thread,0.99992895,0.00006976,0.99992895,0.00000129
258,1,Thread,Thread,0.64547551,0.34020022,0.64547551,0.01432433,Thread,0.99901438,0.00095854,0.99901438,0.00002699,Thread,0.95641285,0.04291499,0.95641285,0.00067227,Stock,0.95669460,0.95669460,0.04092350,0.00238191,Stock,0.91050905,0.91050905,0.08790673,0.00158432,Stock,0.94010264,0.94010264,0.05824265,0.00165468,Thread,0.99669182,0.00326405,0.99669182,0.00004407
259,1,Thread,Thread,0.67873114,0.30762890,0.67873114,0.01363999,Thread,0.99903250,0.00094154,0.99903250,0.00002593,Thread,0.97074687,0.02870586,0.97074687,0.00054730,Stock,0.95065540,0.95065540,0.04667623,0.00266834,Stock,0.88777685,0.88777685,0.11013595,0.00208715,Stock,0.93425161,0.93425161,0.06403147,0.00171685,Thread,0.99541450,0.00451719,0.99541450,0.00006832
260,1,Thread,Thread,0.70489711,0.28146201,0.70489711,0.01364088,Thread,0.99893552,0.00103091,0.99893552,0.00003356,Thread,0.97465342,0.02490695,0.97465342,0.00043961,Stock,0.94570464,0.94570464,0.05182686,0.00246851,Stock,0.82308370,0.82308370,0.17434096,0.00257529,Stock,0.88484973,0.88484973,0.11299826,0.00215209,Thread,0.99990368,0.00009469,0.99990368,0.00000172
261,1,Thread,Thread,0.67899555,0.30743471,0.67899555,0.01356966,Thread,0.99865758,0.00130164,0.99865758,0.00004073,Thread,0.94447523,0.05478242,0.94447523,0.00074235,Stock,0.95723516,0.95723516,0.04038936,0.00237548,Stock,0.90062678,0.90062678,0.09776309,0.00161011,Stock,0.93746001,0.93746001,0.06095515,0.00158477,Thread,0.99668735,0.00326841,0.99668735,0.00004417
262,1,Thread,Thread,0.67926681,0.30698434,0.67926681,0.01374886,Thread,0.99899536,0.00097721,0.99899536,0.00002735,Thread,0.97151607,0.02795821,0.97151607,0.00052571,Stock,0.95046228,0.95046228,0.04677587,0.00276193,Stock,0.88489085,0.88489085,0.11299525,0.00211383,Stock,0.93136013,0.93136013,0.06691312,0.00172670,Thread,0.99544501,0.00448707,0.99544501,0.00006782
263,1,Thread,Thread,0.70491028,0.28144458,0.70491028,0.01364518,Thread,0.99893528,0.00103108,0.99893528,0.00003357,Thread,0.97465271,0.02490761,0.97465271,0.00043965,Stock,0.94575846,0.94575846,0.05168656,0.00255498,Stock,0.82536304,0.82536304,0.17206764,0.00256929,Stock,0.88421232,0.88421232,0.11362021,0.00216746,Thread,0.99990702,0.00009132,0.99990702,0.00000164
264,1,Thread,Thread,0.67906255,0.30736130,0.67906255,0.01357621,Thread,0.99853456,0.00141899,0.99853456,0.00004642,Thread,0.94701064,0.05225720,0.94701064,0.00073214,Stock,0.95676547,0.95676547,0.04075420,0.00248025,Stock,0.90031081,0.90031081,0.09807637,0.00161291,Stock,0.93656570,0.93656570,0.06182871,0.00160558,Thread,0.99668628,0.00326950,0.99668628,0.00004420
265,1,Thread,Thread,0.68093085,0.30494788,0.68093085,0.01412119,Thread,0.99894553,0.00102496,0.99894553,0.00002954,Thread,0.97160304,0.02787339,0.97160304,0.00052349,Stock,0.95030165,0.95030165,0.04665003,0.00304842,Stock,0.88476014,0.88476014,0.11312226,0.00211770,Stock,0.93252254,0.93252254,0.06576159,0.00171581,Thread,0.99547607,0.00445671,0.99547607,0.00006733
266,1,Thread,Thread,0.70496237,0.28137508,0.70496237,0.01366256,Thread,0.99894923,0.00101796,0.99894923,0.00003281,Thread,0.97477007,0.02479772,0.97477007,0.00043225,Stock,0.94487739,0.94487739,0.05270965,0.00241290,Stock,0.80421495,0.80421495,0.19299938,0.00278559,Stock,0.85906565,0.85906565,0.13837370,0.00256059,Thread,0.99994421,0.00005479,0.99994421,0.00000099
267,1,Thread,Thread,0.68266344,0.30361214,0.68266344,0.01372439,Thread,0.99801302,0.00192243,0.99801302,0.00006449,Thread,0.95067769,0.04868913,0.95067769,0.00063320,Stock,0.95064056,0.95064056,0.04695498,0.00240458,Stock,0.85328943,0.85328943,0.14447574,0.00223475,Stock,0.88349217,0.88349217,0.11424374,0.00226403,Thread,0.99869955,0.00127283,0.99869955,0.00002763
268,1,Thread,Thread,0.68240190,0.30304208,0.68240190,0.01455603,Thread,0.99908745,0.00088877,0.99908745,0.00002379,Thread,0.96855885,0.03084660,0.96855885,0.00059450,Stock,0.95010984,0.95010984,0.04666594,0.00322428,Stock,0.88077050,0.88077050,0.11708453,0.00214493,Stock,0.93330592,0.93330592,0.06494235,0.00175171,Thread,0.99540025,0.00453118,0.99540025,0.00006855
269,1,Thread,Thread,0.55745304,0.42372239,0.55745304,0.01882457,Thread,0.99202418,0.00738113,0.99202418,0.00059478,Thread,0.92919821,0.07023679,0.92919821,0.00056499,Stock,0.97816032,0.97816032,0.01929388,0.00254590,Stock,0.94536078,0.94536078,0.05295610,0.00168310,Stock,0.95489031,0.95489031,0.04353657,0.00157321,Thread,0.99546212,0.00443850,0.99546212,0.00009934
270,1,Thread,Thread,0.64226288,0.34335035,0.64226288,0.01438679,Thread,0.99148929,0.00781664,0.99148929,0.00069407,Thread,0.91801852,0.08123631,0.91801852,0.00074513,Stock,0.96298540,0.96298540,0.03418646,0.00282811,Stock,0.93110746,0.93110746,0.06715844,0.00173415,Stock,0.94733125,0.94733125,0.05108974,0.00157895,Thread,0.99532026,0.00459557,0.99532026,0.00008411
271,0,Stock,Stock,0.64151031,0.64151031,0.33732945,0.02116029,Thread,0.58398241,0.40801117,0.58398241,0.00800633,Stock,0.57249987,0.57249987,0.42598721,0.00151283,Stock,0.98771602,0.98771602,0.00946939,0.00281463,Stock,0.99211383,0.99211383,0.00685798,0.00102824,Stock,0.99224901,0.99224901,0.00671378,0.00103728,Thread,0.81978434,0.17933881,0.81978434,0.00087693
272,0,Stock,Stock,0.56173736,0.56173736,0.41827914,0.01998349,Thread,0.91688967,0.07934956,0.91688967,0.00376074,Thread,0.51586652,0.48250362,0.51586652,0.00162980,Stock,0.98366356,0.98366356,0.01326053,0.00307591,Stock,0.97664171,0.97664171,0.02217126,0.00118708,Stock,0.98117930,0.98117930,0.01763156,0.00118919,Thread,0.93372762,0.06585730,0.93372762,0.00041506
273,1,Thread,Thread,0.60253507,0.37853813,0.60253507,0.01892683,Thread,0.99569392,0.00398849,0.99569392,0.00031751,Thread,0.74062234,0.25845942,0.74062234,0.00091823,Stock,0.96721464,0.96721464,0.03008019,0.00270524,Stock,0.93602014,0.93602014,0.06213047,0.00184933,Stock,0.96322775,0.96322775,0.03540790,0.00136437,Thread,0.97648174,0.02326395,0.97648174,0.00025436
274,0,Stock,Stock,0.51641256,0.51641256,0.46650639,0.01708107,Thread,0.96436912,0.03327946,0.96436912,0.00235147,Thread,0.57759213,0.42095882,0.57759213,0.00144907,Stock,0.96124607,0.96124607,0.03436822,0.00438568,Stock,0.95529729,0.95529729,0.04313999,0.00156272,Stock,0.96965694,0.96965694,0.02914410,0.00119893,Thread,0.94968301,0.04999428,0.94968301,0.00032263
275,0,Stock,Stock,0.57369179,0.57369179,0.41749421,0.00881399,Thread,0.99850094,0.00143935,0.99850094,0.00005973,Thread,0.96196365,0.03747124,0.96196365,0.00056510,Stock,0.97687644,0.97687644,0.02179345,0.00133014,Stock,0.84280938,0.84280938,0.15520146,0.00198923,Stock,0.90975696,0.90975696,0.08871633,0.00152666,Thread,0.99997842,0.00002095,0.99997842,0.00000061
276,0,Stock,Stock,0.52940089,0.52940089,0.45963752,0.01096164,Thread,0.99867791,0.00128416,0.99867791,0.00003790,Thread,0.93640852,0.06271880,0.93640852,0.00087270,Stock,0.97716409,0.97716409,0.02150515,0.00133077,Stock,0.89934325,0.89934325,0.09909612,0.00156068,Stock,0.93147802,0.93147802,0.06731513,0.00120682,Thread,0.99994695,0.00005227,0.99994695,0.00000079
277,0,Stock,Stock,0.51582074,0.51582074,0.47338733,0.01079195,Thread,0.99840778,0.00154447,0.99840778,0.00004778,Thread,0.93551368,0.06361286,0.93551368,0.00087341,Stock,0.97208571,0.97208571,0.02676954,0.00114468,Stock,0.84787500,0.84787500,0.15030511,0.00181993,Stock,0.90756041,0.90756041,0.09088295,0.00155667,Thread,0.99997401,0.00002573,0.99997401,0.00000019
278,0,Stock,Stock,0.57215625,0.57215625,0.41909477,0.00874890,Thread,0.99849904,0.00144108,0.99849904,0.00005987,Thread,0.95891744,0.04042684,0.95891744,0.00065571,Stock,0.97767639,0.97767639,0.02096837,0.00135521,Stock,0.87213403,0.87213403,0.12600790,0.00185813,Stock,0.91557789,0.91557789,0.08297531,0.00144680,Thread,0.99998009,0.00001942,0.99998009,0.00000053
279,0,Stock,Stock,0.54725468,0.54725468,0.44187298,0.01087231,Thread,0.99860233,0.00135719,0.99860233,0.00004048,Thread,0.93678576,0.06234226,0.93678576,0.00087210,Stock,0.97872549,0.97872549,0.01987916,0.00139540,Stock,0.90874857,0.90874857,0.08981718,0.00143429,Stock,0.93261534,0.93261534,0.06618606,0.00119856,Thread,0.99994683,0.00005228,0.99994683,0.00000079
280,0,Stock,Stock,0.56441194,0.56441194,0.42545819,0.01012986,Thread,0.99706799,0.00280770,0.99706799,0.00012431,Thread,0.93551463,0.06361195,0.93551463,0.00087341,Stock,0.97614872,0.97614872,0.02255583,0.00129550,Stock,0.89337802,0.89337802,0.10509841,0.00152357,Stock,0.93096232,0.93096232,0.06782765,0.00120996,Thread,0.99996638,0.00003342,0.99996638,0.00000025
281,0,Stock,Stock,0.57311970,0.57311970,0.41813216,0.00874820,Thread,0.99849880,0.00144139,0.99849880,0.00005989,Thread,0.95902950,0.04031645,0.95902950,0.00065401,Stock,0.97839546,0.97839546,0.02022314,0.00138145,Stock,0.89323950,0.89323950,0.10504016,0.00172028,Stock,0.91812110,0.91812110,0.08046638,0.00141255,Thread,0.99998033,0.00001914,0.99998033,0.00000051
282,0,Stock,Stock,0.55663520,0.55663520,0.43268818,0.01067671,Thread,0.99854136,0.00141597,0.99854136,0.00004271,Thread,0.93696254,0.06216570,0.93696254,0.00087181,Stock,0.97937804,0.97937804,0.01919567,0.00142618,Stock,0.91144651,0.91144651,0.08715217,0.00140130,Stock,0.93267649,0.93267649,0.06612544,0.00119810,Thread,0.99994695,0.00005222,0.99994695,0.00000079
283,0,Stock,Stock,0.57839382,0.57839382,0.41200405,0.00960218,Thread,0.99663430,0.00320947,0.99663430,0.00015621,Thread,0.93551421,0.06361232,0.93551421,0.00087342,Stock,0.97679591,0.97679591,0.02189111,0.00131301,Stock,0.90049607,0.90049607,0.09798674,0.00151713,Stock,0.93248791,0.93248791,0.06631252,0.00119951,Thread,0.99996674,0.00003301,0.99996674,0.00000024
284,0,Stock,Stock,0.57324392,0.57324392,0.41800749,0.00874863,Thread,0.99850035,0.00143991,0.99850035,0.00005979,Thread,0.96554714,0.03389887,0.96554714,0.00055404,Stock,0.97946519,0.97946519,0.01910160,0.00143323,Stock,0.90104669,0.90104669,0.09734912,0.00160406,Stock,0.92657751,0.92657751,0.07213426,0.00128825,Thread,0.99998021,0.00001926,0.99998021,0.00000052
285,0,Stock,Stock,0.56342530,0.56342530,0.42650533,0.01006946,Thread,0.99940026,0.00058744,0.99940026,0.00001221,Thread,0.95468718,0.04459059,0.95468718,0.00072224,Stock,0.97975200,0.97975200,0.01880980,0.00143817,Stock,0.89542150,0.89542150,0.10292188,0.00165654,Stock,0.93268871,0.93268871,0.06611322,0.00119798,Thread,0.99994779,0.00005137,0.99994779,0.00000079
286,0,Stock,Stock,0.58282793,0.58282793,0.40777099,0.00940108,Thread,0.99761343,0.00229492,0.99761343,0.00009170,Thread,0.93553644,0.06359039,0.93553644,0.00087324,Stock,0.97768676,0.97768676,0.02096613,0.00134706,Stock,0.90439391,0.90439391,0.09412128,0.00148482,Stock,0.93266082,0.93266082,0.06614101,0.00119822,Thread,0.99996746,0.00003226,0.99996746,0.00000024
287,0,Stock,Stock,0.57397318,0.57397318,0.41727379,0.00875309,Thread,0.99849975,0.00144033,0.99849975,0.00005982,Thread,0.96498823,0.03445188,0.96498823,0.00055993,Stock,0.97967440,0.97967440,0.01888115,0.00144445,Stock,0.90807247,0.90807247,0.09042748,0.00150008,Stock,0.93425620,0.93425620,0.06453411,0.00120971,Thread,0.99998069,0.00001883,0.99998069,0.00000050
288,0,Stock,Stock,0.56351775,0.56351775,0.42627975,0.01020249,Thread,0.99857450,0.00138444,0.99857450,0.00004111,Thread,0.94167334,0.05746099,0.94167334,0.00086556,Stock,0.97977442,0.97977442,0.01877837,0.00144729,Stock,0.91213262,0.91213262,0.08647615,0.00139131,Stock,0.93268937,0.93268937,0.06611265,0.00119800,Thread,0.99994695,0.00005220,0.99994695,0.00000079
289,0,Stock,Stock,0.59104341,0.59104341,0.39982548,0.00913113,Thread,0.99874145,0.00120678,0.99874145,0.00005179,Thread,0.94461775,0.05453737,0.94461775,0.00084493,Stock,0.97925860,0.97925860,0.01936005,0.00138140,Stock,0.89392489,0.89392489,0.10439928,0.00167582,Stock,0.93269080,0.93269080,0.06611132,0.00119788,Thread,0.99996984,0.00002990,0.99996984,0.00000021
290,0,Stock,Stock,0.57716167,0.57716167,0.41404533,0.00879296,Thread,0.99851698,0.00142434,0.99851698,0.00005873,Thread,0.97143370,0.02808557,0.97143370,0.00048075,Stock,0.97983950,0.97983950,0.01870818,0.00145224,Stock,0.90826988,0.90826988,0.09023260,0.00149750,Stock,0.93606049,0.93606049,0.06274644,0.00119309,Thread,0.99998093,0.00001863,0.99998093,0.00000049
291,0,Stock,Stock,0.59837925,0.59837925,0.39264941,0.00897133,Thread,0.99941671,0.00057150,0.99941671,0.00001179,Thread,0.97204316,0.02749899,0.97204316,0.00045783,Stock,0.97975206,0.97975206,0.01885067,0.00139718,Stock,0.92178982,0.92178982,0.07696185,0.00124830,Stock,0.93297464,0.93297464,0.06582964,0.00119569,Thread,0.99995708,0.00004217,0.99995708,0.00000074
292,0,Stock,Stock,0.58794504,0.58794504,0.40289697,0.00915804,Thread,0.99751854,0.00236862,0.99751854,0.00011290,Thread,0.93622583,0.06290659,0.93622583,0.00086751,Stock,0.97909296,0.97909296,0.01949810,0.00140885,Stock,0.91177922,0.91177922,0.08682346,0.00139726,Stock,0.93268925,0.93268925,0.06611269,0.00119800,Thread,0.99997044,0.00002933,0.99997044,0.00000021
293,0,Stock,Stock,0.57886487,0.57886487,0.41231969,0.00881543,Thread,0.99901783,0.00095278,0.99901783,0.00002937,Thread,0.97251588,0.02702335,0.97251588,0.00046070,Stock,0.97984934,0.97984934,0.01869792,0.00145269,Stock,0.90859205,0.90859205,0.08991513,0.00149272,Stock,0.93734795,0.93734795,0.06147021,0.00118187,Thread,0.99998116,0.00001840,0.99998116,0.00000048
294,0,Stock,Stock,0.59412551,0.59412551,0.39683560,0.00903892,Thread,0.99941790,0.00057038,0.99941790,0.00001175,Thread,0.97570020,0.02391330,0.97570020,0.00038648,Stock,0.97977072,0.97977072,0.01882155,0.00140778,Stock,0.92204809,0.92204809,0.07670525,0.00124666,Stock,0.93313068,0.93313068,0.06567483,0.00119447,Thread,0.99996042,0.00003898,0.99996042,0.00000058
295,0,Stock,Stock,0.63391316,0.63391316,0.35758495,0.00850184,Thread,0.99918026,0.00079261,0.99918026,0.00002717,Thread,0.97164392,0.02787443,0.97164392,0.00048157,Stock,0.97955567,0.97955567,0.01913275,0.00131162,Stock,0.92189842,0.92189842,0.07685391,0.00124764,Stock,0.93273777,0.93273777,0.06606492,0.00119725,Thread,0.99997151,0.00002830,0.99997151,0.00000020
296,0,Stock,Stock,0.59310693,0.59310693,0.39795142,0.00894173,Thread,0.99901545,0.00095505,0.99901545,0.00002949,Thread,0.97032446,0.02918558,0.97032446,0.00048994,Stock,0.97793305,0.97793305,0.02070434,0.00136259,Stock,0.89332628,0.89332628,0.10495598,0.00171777,Stock,0.91434073,0.91434073,0.08419406,0.00146525,Thread,0.99998510,0.00001455,0.99998510,0.00000030
297,0,Stock,Stock,0.50179386,0.50179386,0.48708028,0.01112588,Thread,0.99933177,0.00065302,0.99933177,0.00001514,Thread,0.94837916,0.05083045,0.94837916,0.00079032,Stock,0.97729754,0.97729754,0.02136660,0.00133587,Stock,0.85646188,0.85646188,0.14155786,0.00198026,Stock,0.91572005,0.91572005,0.08284054,0.00143944,Thread,0.99997818,0.00002160,0.99997818,0.00000024
298,0,Stock,Stock,0.62909508,0.62909508,0.36243644,0.00846850,Thread,0.99917394,0.00079867,0.99917394,0.00002738,Thread,0.96163231,0.03777421,0.96163231,0.00059351,Stock,0.97948682,0.97948682,0.01921085,0.00130234,Stock,0.92156178,0.92156178,0.07718830,0.00124994,Stock,0.93270075,0.93270075,0.06610138,0.00119782,Thread,0.99997413,0.00002569,0.99997413,0.00000018
299,0,Stock,Stock,0.70572215,0.70572215,0.28699630,0.00728160,Thread,0.99934000,0.00064529,0.99934000,0.00001461,Thread,0.97000074,0.02946778,0.97000074,0.00053148,Stock,0.97980589,0.97980589,0.01873485,0.00145936,Stock,0.94660497,0.94660497,0.05224536,0.00114971,Stock,0.96211106,0.96211106,0.03682802,0.00106096,Thread,0.99996996,0.00002933,0.99996996,0.00000072
300,0,Stock,Stock,0.61647993,0.61647993,0.37340993,0.01011013,Thread,0.99941790,0.00057035,0.99941790,0.00001175,Thread,0.98526406,0.01450371,0.98526406,0.00023216,Stock,0.97984946,0.97984946,0.01869803,0.00145255,Stock,0.93312615,0.93312615,0.06568578,0.00118816,Stock,0.95107383,0.95107383,0.04767982,0.00124641,Thread,0.99983430,0.00016132,0.99983430,0.00000424
301,0,Stock,Stock,0.57395065,0.57395065,0.41652814,0.00952124,Thread,0.99941742,0.00057081,0.99941742,0.00001177,Thread,0.98663020,0.01314839,0.98663020,0.00022148,Stock,0.97851938,0.97851938,0.02009444,0.00138615,Stock,0.90531528,0.90531528,0.09335503,0.00132968,Stock,0.93290466,0.93290466,0.06589711,0.00119815,Thread,0.99981087,0.00018610,0.99981087,0.00000309
302,0,Stock,Stock,0.70301914,0.70301914,0.28967690,0.00730399,Thread,0.99879837,0.00116095,0.99879837,0.00004055,Thread,0.96991843,0.02954889,0.96991843,0.00053268,Stock,0.97984397,0.97984397,0.01870167,0.00145440,Stock,0.94304383,0.94304383,0.05578846,0.00116774,Stock,0.96101582,0.96101582,0.03792267,0.00106151,Thread,0.99997437,0.00002496,0.99997437,0.00000067
303,0,Stock,Stock,0.61695164,0.61695164,0.37297735,0.01007105,Thread,0.99941778,0.00057049,0.99941778,0.00001175,Thread,0.98484510,0.01491965,0.98484510,0.00023530,Stock,0.97984958,0.97984958,0.01869773,0.00145256,Stock,0.93091178,0.93091178,0.06786929,0.00121890,Stock,0.95682770,0.95682770,0.04197365,0.00119870,Thread,0.99976033,0.00023510,0.99976033,0.00000449
304,0,Stock,Stock,0.67541146,0.67541146,0.31502396,0.00956468,Thread,0.99941790,0.00057029,0.99941790,0.00001175,Thread,0.98663086,0.01314769,0.98663086,0.00022146,Stock,0.97984672,0.97984672,0.01870201,0.00145122,Stock,0.93313348,0.93313348,0.06567842,0.00118808,Stock,0.95129222,0.95129222,0.04746646,0.00124134,Thread,0.99980289,0.00019328,0.99980289,0.00000376
305,0,Stock,Stock,0.70344496,0.70344496,0.28925890,0.00729616,Thread,0.99926001,0.00072220,0.99926001,0.00001781,Thread,0.97734559,0.02219872,0.97734559,0.00045561,Stock,0.97985005,0.97985005,0.01869719,0.00145274,Stock,0.92186135,0.92186135,0.07689684,0.00124186,Stock,0.93775326,0.93775326,0.06106792,0.00117876,Thread,0.99997807,0.00002132,0.99997807,0.00000063
306,0,Stock,Stock,0.61540419,0.61540419,0.37450013,0.01009568,Thread,0.99941778,0.00057039,0.99941778,0.00001175,Thread,0.98485339,0.01491127,0.98485339,0.00023524,Stock,0.97984928,0.97984928,0.01869839,0.00145233,Stock,0.93162638,0.93162638,0.06717033,0.00120335,Stock,0.93902564,0.93902564,0.05975278,0.00122156,Thread,0.99976593,0.00022989,0.99976593,0.00000417
307,0,Stock,Stock,0.68957657,0.68957657,0.30165642,0.00876698,Thread,0.99941790,0.00057035,0.99941790,0.00001175,Thread,0.98662359,0.01315490,0.98662359,0.00022157,Stock,0.97866404,0.97866404,0.02003546,0.00130053,Stock,0.92149371,0.92149371,0.07725589,0.00125042,Stock,0.93347442,0.93347442,0.06533899,0.00118657,Thread,0.99994695,0.00005226,0.99994695,0.00000078
308,0,Stock,Stock,0.69742924,0.69742924,0.29510924,0.00746152,Thread,0.99888569,0.00107844,0.99888569,0.00003589,Thread,0.97125602,0.02823414,0.97125602,0.00050985,Stock,0.97984993,0.97984993,0.01869737,0.00145278,Stock,0.94070798,0.94070798,0.05819876,0.00109324,Stock,0.95337808,0.95337808,0.04553353,0.00108829,Thread,0.99997556,0.00002370,0.99997556,0.00000066
309,0,Stock,Stock,0.58987397,0.58987397,0.40069342,0.00943266,Thread,0.99941742,0.00057075,0.99941742,0.00001176,Thread,0.98484647,0.01491829,0.98484647,0.00023529,Stock,0.97984833,0.97984833,0.01869977,0.00145187,Stock,0.93249321,0.93249321,0.06630993,0.00119689,Stock,0.94975257,0.94975257,0.04904256,0.00120492,Thread,0.99979407,0.00020185,0.99979407,0.00000403
310,0,Stock,Stock,0.62445569,0.62445569,0.36558333,0.00996094,Thread,0.99941790,0.00057034,0.99941790,0.00001175,Thread,0.98588711,0.01387777,0.98588711,0.00023500,Stock,0.97984809,0.97984809,0.01870012,0.00145177,Stock,0.93190104,0.93190104,0.06689332,0.00120562,Stock,0.95943028,0.95943028,0.03944457,0.00112506,Thread,0.99979407,0.00020197,0.99979407,0.00000398
311,0,Stock,Stock,0.69520700,0.69520700,0.29725611,0.00753693,Thread,0.99894804,0.00101934,0.99894804,0.00003262,Thread,0.97270638,0.02680563,0.97270638,0.00048805,Stock,0.97985005,0.97985005,0.01869722,0.00145275,Stock,0.93434829,0.93434829,0.06451695,0.00113481,Stock,0.94393313,0.94393313,0.05499280,0.00107405,Thread,0.99997163,0.00002762,0.99997163,0.00000070
312,0,Stock,Stock,0.57843679,0.57843679,0.41247582,0.00908746,Thread,0.99941409,0.00057399,0.99941409,0.00001189,Thread,0.98512357,0.01464325,0.98512357,0.00023322,Stock,0.97984523,0.97984523,0.01870405,0.00145079,Stock,0.92177206,0.92177206,0.07692887,0.00129904,Stock,0.93541032,0.93541032,0.06335317,0.00123650,Thread,0.99980265,0.00019326,0.99980265,0.00000402
313,0,Stock,Stock,0.61710548,0.61710548,0.37290835,0.00998622,Thread,0.99941790,0.00057031,0.99941790,0.00001175,Thread,0.98632950,0.01344362,0.98632950,0.00022695,Stock,0.97984642,0.97984642,0.01870280,0.00145088,Stock,0.93192697,0.93192697,0.06686901,0.00120408,Stock,0.94937509,0.94937509,0.04945644,0.00116848,Thread,0.99979407,0.00020207,0.99979407,0.00000398
314,0,Stock,Stock,0.69053626,0.69053626,0.30180237,0.00766137,Thread,0.99868387,0.00126883,0.99868387,0.00004728,Thread,0.96706098,0.03238844,0.96706098,0.00055061,Stock,0.97985005,0.97985005,0.01869718,0.00145274,Stock,0.92621809,0.92621809,0.07259857,0.00118335,Stock,0.93701267,0.93701267,0.06184770,0.00113960,Thread,0.99996305,0.00003607,0.99996305,0.00000079
315,0,Stock,Stock,0.55231518,0.55231518,0.43779352,0.00989123,Thread,0.99941790,0.00057030,0.99941790,0.00001175,Thread,0.98245758,0.01725230,0.98245758,0.00029010,Stock,0.97984058,0.97984058,0.01870999,0.00144944,Stock,0.90965784,0.90965784,0.08892674,0.00141544,Stock,0.93001884,0.93001884,0.06867559,0.00130556,Thread,0.99977046,0.00022528,0.99977046,0.00000426
316,0,Stock,Stock,0.57961786,0.57961786,0.41130567,0.00907652,Thread,0.99941790,0.00057029,0.99941790,0.00001175,Thread,0.98394817,0.01577926,0.98394817,0.00027257,Stock,0.97982454,0.97982454,0.01872783,0.00144773,Stock,0.92400581,0.92400581,0.07478707,0.00120711,Stock,0.93509769,0.93509769,0.06366972,0.00123251,Thread,0.99979454,0.00020160,0.99979454,0.00000396
317,0,Stock,Stock,0.66871864,0.66871864,0.32306305,0.00821831,Thread,0.99866843,0.00128335,0.99866843,0.00004818,Thread,0.96622556,0.03321245,0.96622556,0.00056200,Stock,0.97984993,0.97984993,0.01869729,0.00145273,Stock,0.92427152,0.92427152,0.07453392,0.00119455,Stock,0.93460917,0.93460917,0.06423462,0.00115621,Thread,0.99996066,0.00003854,0.99996066,0.00000084
318,0,Stock,Stock,0.57865745,0.57865745,0.41223046,0.00911215,Thread,0.99941790,0.00057029,0.99941790,0.00001175,Thread,0.98283941,0.01688160,0.98283941,0.00027898,Stock,0.97984236,0.97984236,0.01870858,0.00144897,Stock,0.92280549,0.92280549,0.07585958,0.00133498,Stock,0.93685257,0.93685257,0.06190475,0.00124271,Thread,0.99975795,0.00023762,0.99975795,0.00000440
