face_index,reference_original_class,corrected_ground_truth,known_original_error,model_A_class,model_A_confidence,model_A_prob_stock,model_A_prob_thread,model_A_prob_text,model_A_correct,model_B_class,model_B_confidence,model_B_prob_stock,model_B_prob_thread,model_B_prob_text,model_B_correct,model_C_class,model_C_confidence,model_C_prob_stock,model_C_prob_thread,model_C_prob_text,model_C_correct,model_D_class,model_D_confidence,model_D_prob_stock,model_D_prob_thread,model_D_prob_text,model_D_correct
211,Thread,Thread,0,Thread,0.56891882,0.41865131,0.56891882,0.01242985,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97360015,0.02595413,0.97360015,0.00044562,1,Stock,0.97167081,0.97167081,0.02625798,0.00207119,0
212,Thread,Thread,0,Thread,0.56617731,0.42176855,0.56617731,0.01205407,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97148657,0.02807083,0.97148657,0.00044264,1,Stock,0.97880095,0.97880095,0.01930573,0.00189334,0
213,Thread,Thread,0,Thread,0.63788337,0.34768447,0.63788337,0.01443211,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95497018,0.04435422,0.95497018,0.00067566,1,Stock,0.97030926,0.97030926,0.02759175,0.00209896,0
214,Thread,Thread,0,Thread,0.57250172,0.41500145,0.57250172,0.01249678,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97370082,0.02585480,0.97370082,0.00044438,1,Stock,0.97163707,0.97163707,0.02629513,0.00206783,0
215,Thread,Thread,0,Thread,0.56658852,0.42136356,0.56658852,0.01204800,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97156996,0.02798480,0.97156996,0.00044520,1,Stock,0.97879958,0.97879958,0.01930812,0.00189234,0
216,Thread,Thread,0,Thread,0.63574445,0.34980428,0.63574445,0.01445123,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95737362,0.04195815,0.95737362,0.00066821,1,Stock,0.97072035,0.97072035,0.02719822,0.00208140,0
217,Thread,Thread,0,Thread,0.58051521,0.40686378,0.58051521,0.01262109,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97372764,0.02582830,0.97372764,0.00044407,1,Stock,0.97173125,0.97173125,0.02620863,0.00206006,0
218,Thread,Thread,0,Thread,0.56798720,0.41998538,0.56798720,0.01202743,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97172302,0.02782673,0.97172302,0.00045029,1,Stock,0.97861713,0.97861713,0.01948850,0.00189448,0
219,Thread,Thread,0,Thread,0.63598412,0.34958979,0.63598412,0.01442607,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95827311,0.04106302,0.95827311,0.00066381,1,Stock,0.97110975,0.97110975,0.02682290,0.00206732,0
220,Thread,Thread,0,Thread,0.59664732,0.39046264,0.59664732,0.01289000,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97373509,0.02582088,0.97373509,0.00044399,1,Stock,0.97185969,0.97185969,0.02608817,0.00205215,0
221,Thread,Thread,0,Thread,0.57376999,0.41428846,0.57376999,0.01194149,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97196937,0.02757213,0.97196937,0.00045849,1,Stock,0.97779441,0.97779441,0.02030581,0.00189977,0
222,Thread,Thread,0,Thread,0.63793021,0.34770381,0.63793021,0.01436604,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95841271,0.04092422,0.95841271,0.00066304,1,Stock,0.97148794,0.97148794,0.02645510,0.00205689,0
223,Thread,Thread,0,Thread,0.61552262,0.37118503,0.61552262,0.01329234,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97373790,0.02581809,0.97373790,0.00044397,1,Stock,0.97189236,0.97189236,0.02605822,0.00204941,0
224,Thread,Thread,0,Thread,0.58844155,0.39982781,0.58844155,0.01173059,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97226733,0.02726556,0.97226733,0.00046706,1,Stock,0.97541714,0.97541714,0.02268186,0.00190109,0
225,Thread,Thread,0,Thread,0.63990772,0.34581065,0.63990772,0.01428165,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95843494,0.04090231,0.95843494,0.00066282,1,Stock,0.97190589,0.97190589,0.02604827,0.00204591,0
226,Thread,Thread,0,Thread,0.63038051,0.35585478,0.63038051,0.01376463,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374016,0.02581578,0.97374016,0.00044396,1,Stock,0.97172999,0.97172999,0.02621423,0.00205577,0
227,Thread,Thread,0,Thread,0.61617559,0.37212586,0.61617559,0.01169848,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97265935,0.02687359,0.97265935,0.00046709,1,Stock,0.97180462,0.97180462,0.02629114,0.00190415,0
228,Thread,Thread,0,Thread,0.64133185,0.34443352,0.64133185,0.01423457,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95844263,0.04089472,0.95844263,0.00066267,1,Stock,0.97229993,0.97229993,0.02566624,0.00203385,0
229,Thread,Thread,0,Thread,0.63685679,0.34915504,0.63685679,0.01398818,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374356,0.02581250,0.97374356,0.00044394,1,Stock,0.97113550,0.97113550,0.02678411,0.00208052,0
230,Thread,Thread,0,Thread,0.64503211,0.34333795,0.64503211,0.01162993,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97376913,0.02578710,0.97376913,0.00044380,1,Stock,0.96771818,0.96771818,0.03030175,0.00198009,0
231,Thread,Thread,0,Thread,0.64158952,0.34419703,0.64158952,0.01421344,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95845026,0.04088723,0.95845026,0.00066251,1,Stock,0.97252953,0.97252953,0.02544136,0.00202905,0
232,Thread,Thread,0,Thread,0.64029318,0.34555489,0.64029318,0.01415202,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374421,0.02581191,0.97374421,0.00044393,1,Stock,0.97009283,0.97009283,0.02778850,0.00211876,0
233,Thread,Thread,0,Thread,0.63805401,0.35021356,0.63805401,0.01173244,1,Thread,0.99932611,0.00065857,0.99932611,0.00001540,1,Thread,0.97148347,0.02807636,0.97148347,0.00044017,1,Stock,0.96244919,0.96244919,0.03554547,0.00200532,0
234,Thread,Thread,0,Thread,0.60983115,0.37767583,0.60983115,0.01249309,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96280354,0.03665078,0.96280354,0.00054562,1,Stock,0.96519655,0.96519655,0.03305108,0.00175235,0
235,Thread,Thread,0,Thread,0.64084136,0.34498835,0.64084136,0.01417038,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374630,0.02580996,0.97374630,0.00044372,1,Stock,0.96895009,0.96895009,0.02888714,0.00216272,0
236,Thread,Thread,0,Thread,0.63521248,0.35347286,0.63521248,0.01131466,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97496378,0.02462003,0.97496378,0.00041624,1,Stock,0.96393293,0.96393293,0.03403049,0.00203656,0
237,Thread,Thread,0,Thread,0.64203560,0.34372920,0.64203560,0.01423520,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95878112,0.04056205,0.95878112,0.00065681,1,Stock,0.97243237,0.97243237,0.02552086,0.00204669,0
238,Thread,Thread,0,Thread,0.64321804,0.34247452,0.64321804,0.01430743,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97376597,0.02579024,0.97376597,0.00044383,1,Stock,0.96824628,0.96824628,0.02954908,0.00220462,0
239,Thread,Thread,0,Thread,0.64300519,0.34523284,0.64300519,0.01176187,1,Thread,0.99932611,0.00065857,0.99932611,0.00001540,1,Thread,0.97384167,0.02575266,0.97384167,0.00040557,1,Stock,0.95450228,0.95450228,0.04324554,0.00225215,0
240,Thread,Thread,0,Thread,0.61374921,0.37360471,0.61374921,0.01264616,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96322036,0.03623030,0.96322036,0.00054932,1,Stock,0.96470356,0.96470356,0.03340132,0.00189507,0
241,Thread,Thread,0,Thread,0.64337730,0.34230757,0.64337730,0.01431512,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97376060,0.02579590,0.97376060,0.00044343,1,Stock,0.96769094,0.96769094,0.03007758,0.00223147,0
242,Thread,Thread,0,Thread,0.67735273,0.30952311,0.67735273,0.01312419,1,Thread,0.99932599,0.00065866,0.99932599,0.00001540,1,Thread,0.97497863,0.02460537,0.97497863,0.00041595,1,Stock,0.95231950,0.95231950,0.04532684,0.00235367,0
243,Thread,Thread,0,Thread,0.64250791,0.34322739,0.64250791,0.01426471,1,Thread,0.99932599,0.00065861,0.99932599,0.00001540,1,Thread,0.96404791,0.03538551,0.96404791,0.00056656,1,Stock,0.97221541,0.97221541,0.02572189,0.00206272,0
244,Thread,Thread,0,Thread,0.64399785,0.34165382,0.64399785,0.01434829,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97391123,0.02564555,0.97391123,0.00044332,1,Stock,0.96747971,0.96747971,0.03026409,0.00225628,0
245,Thread,Thread,0,Thread,0.69927901,0.28717422,0.69927901,0.01354684,1,Thread,0.99932611,0.00065855,0.99932611,0.00001540,1,Thread,0.97486252,0.02472839,0.97486252,0.00040905,1,Stock,0.95042449,0.95042449,0.04722465,0.00235083,0
246,Thread,Thread,0,Thread,0.64101028,0.34482074,0.64101028,0.01416895,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95938253,0.03997470,0.95938253,0.00064278,1,Stock,0.97121960,0.97121960,0.02668653,0.00209387,0
247,Thread,Thread,0,Thread,0.64188910,0.34388930,0.64188910,0.01422162,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97975576,0.01990457,0.97975576,0.00033963,1,Stock,0.94385165,0.94385165,0.05330827,0.00284014,0
248,Thread,Thread,0,Thread,0.69923890,0.28721517,0.69923890,0.01354596,1,Thread,0.99931777,0.00066654,0.99931777,0.00001573,1,Thread,0.97496265,0.02461969,0.97496265,0.00041758,1,Stock,0.95042771,0.95042771,0.04718481,0.00238745,0
249,Thread,Thread,0,Thread,0.64122117,0.34459737,0.64122117,0.01418148,1,Thread,0.99932587,0.00065883,0.99932587,0.00001541,1,Thread,0.96468914,0.03475513,0.96468914,0.00055562,1,Stock,0.97018236,0.97018236,0.02769410,0.00212355,0
250,Thread,Thread,0,Thread,0.64434880,0.34130266,0.64434880,0.01434856,1,Thread,0.99932599,0.00065861,0.99932599,0.00001540,1,Thread,0.97047901,0.02899298,0.97047901,0.00052804,1,Stock,0.96225852,0.96225852,0.03550031,0.00224125,0
251,Thread,Thread,0,Thread,0.70426488,0.28210568,0.70426488,0.01362952,1,Thread,0.99914420,0.00083260,0.99914420,0.00002319,1,Thread,0.97478080,0.02478689,0.97478080,0.00043226,1,Stock,0.94794661,0.94794661,0.04963042,0.00242297,0
252,Thread,Thread,0,Thread,0.64473510,0.34092030,0.64473510,0.01434465,1,Thread,0.99907577,0.00089963,0.99907577,0.00002451,1,Thread,0.95263320,0.04668482,0.95263320,0.00068191,1,Stock,0.96461660,0.96461660,0.03327879,0.00210459,0
253,Thread,Thread,0,Thread,0.64442688,0.34122524,0.64442688,0.01434783,1,Thread,0.99932599,0.00065863,0.99932599,0.00001540,1,Thread,0.97089350,0.02858040,0.97089350,0.00052616,1,Stock,0.96028322,0.96028322,0.03742077,0.00229597,0
254,Thread,Thread,0,Thread,0.70484346,0.28151748,0.70484346,0.01363903,1,Thread,0.99908650,0.00088771,0.99908650,0.00002590,1,Thread,0.97473347,0.02483049,0.97473347,0.00043608,1,Stock,0.94662231,0.94662231,0.05094421,0.00243357,0
255,Thread,Thread,0,Thread,0.64522606,0.34044284,0.64522606,0.01433112,1,Thread,0.99903166,0.00094202,0.99903166,0.00002628,1,Thread,0.95399868,0.04532382,0.95399868,0.00067750,1,Stock,0.95956475,0.95956475,0.03815728,0.00227797,0
256,Thread,Thread,0,Thread,0.64481401,0.34084669,0.64481401,0.01433932,1,Thread,0.99932599,0.00065866,0.99932599,0.00001540,1,Thread,0.97136748,0.02810833,0.97136748,0.00052425,1,Stock,0.95475680,0.95475680,0.04274651,0.00249671,0
257,Thread,Thread,0,Thread,0.70489377,0.28146622,0.70489377,0.01364008,1,Thread,0.99894553,0.00102154,0.99894553,0.00003302,1,Thread,0.97466385,0.02489703,0.97466385,0.00043915,1,Stock,0.94580984,0.94580984,0.05174809,0.00244203,0
258,Thread,Thread,0,Thread,0.64547551,0.34020022,0.64547551,0.01432433,1,Thread,0.99901438,0.00095854,0.99901438,0.00002699,1,Thread,0.95641285,0.04291499,0.95641285,0.00067227,1,Stock,0.95669460,0.95669460,0.04092350,0.00238191,0
259,Thread,Thread,0,Thread,0.67873114,0.30762890,0.67873114,0.01363999,1,Thread,0.99903250,0.00094154,0.99903250,0.00002593,1,Thread,0.97074687,0.02870586,0.97074687,0.00054730,1,Stock,0.95065540,0.95065540,0.04667623,0.00266834,0
260,Thread,Thread,0,Thread,0.70489711,0.28146201,0.70489711,0.01364088,1,Thread,0.99893552,0.00103091,0.99893552,0.00003356,1,Thread,0.97465342,0.02490695,0.97465342,0.00043961,1,Stock,0.94570464,0.94570464,0.05182686,0.00246851,0
261,Thread,Thread,0,Thread,0.67899555,0.30743471,0.67899555,0.01356966,1,Thread,0.99865758,0.00130164,0.99865758,0.00004073,1,Thread,0.94447523,0.05478242,0.94447523,0.00074235,1,Stock,0.95723516,0.95723516,0.04038936,0.00237548,0
262,Thread,Thread,0,Thread,0.67926681,0.30698434,0.67926681,0.01374886,1,Thread,0.99899536,0.00097721,0.99899536,0.00002735,1,Thread,0.97151607,0.02795821,0.97151607,0.00052571,1,Stock,0.95046228,0.95046228,0.04677587,0.00276193,0
263,Thread,Thread,0,Thread,0.70491028,0.28144458,0.70491028,0.01364518,1,Thread,0.99893528,0.00103108,0.99893528,0.00003357,1,Thread,0.97465271,0.02490761,0.97465271,0.00043965,1,Stock,0.94575846,0.94575846,0.05168656,0.00255498,0
264,Thread,Thread,0,Thread,0.67906255,0.30736130,0.67906255,0.01357621,1,Thread,0.99853456,0.00141899,0.99853456,0.00004642,1,Thread,0.94701064,0.05225720,0.94701064,0.00073214,1,Stock,0.95676547,0.95676547,0.04075420,0.00248025,0
265,Thread,Thread,0,Thread,0.68093085,0.30494788,0.68093085,0.01412119,1,Thread,0.99894553,0.00102496,0.99894553,0.00002954,1,Thread,0.97160304,0.02787339,0.97160304,0.00052349,1,Stock,0.95030165,0.95030165,0.04665003,0.00304842,0
266,Thread,Thread,0,Thread,0.70496237,0.28137508,0.70496237,0.01366256,1,Thread,0.99894923,0.00101796,0.99894923,0.00003281,1,Thread,0.97477007,0.02479772,0.97477007,0.00043225,1,Stock,0.94487739,0.94487739,0.05270965,0.00241290,0
267,Thread,Thread,0,Thread,0.68266344,0.30361214,0.68266344,0.01372439,1,Thread,0.99801302,0.00192243,0.99801302,0.00006449,1,Thread,0.95067769,0.04868913,0.95067769,0.00063320,1,Stock,0.95064056,0.95064056,0.04695498,0.00240458,0
268,Thread,Thread,0,Thread,0.68240190,0.30304208,0.68240190,0.01455603,1,Thread,0.99908745,0.00088877,0.99908745,0.00002379,1,Thread,0.96855885,0.03084660,0.96855885,0.00059450,1,Stock,0.95010984,0.95010984,0.04666594,0.00322428,0
269,Thread,Thread,0,Thread,0.55745304,0.42372239,0.55745304,0.01882457,1,Thread,0.99202418,0.00738113,0.99202418,0.00059478,1,Thread,0.92919821,0.07023679,0.92919821,0.00056499,1,Stock,0.97816032,0.97816032,0.01929388,0.00254590,0
270,Thread,Thread,0,Thread,0.64226288,0.34335035,0.64226288,0.01438679,1,Thread,0.99148929,0.00781664,0.99148929,0.00069407,1,Thread,0.91801852,0.08123631,0.91801852,0.00074513,1,Stock,0.96298540,0.96298540,0.03418646,0.00282811,0
271,Stock,Stock,0,Stock,0.64151031,0.64151031,0.33732945,0.02116029,1,Thread,0.58398241,0.40801117,0.58398241,0.00800633,0,Stock,0.57249987,0.57249987,0.42598721,0.00151283,1,Stock,0.98771602,0.98771602,0.00946939,0.00281463,1
272,Stock,Stock,0,Stock,0.56173736,0.56173736,0.41827914,0.01998349,1,Thread,0.91688967,0.07934956,0.91688967,0.00376074,0,Thread,0.51586652,0.48250362,0.51586652,0.00162980,0,Stock,0.98366356,0.98366356,0.01326053,0.00307591,1
273,Thread,Thread,0,Thread,0.60253507,0.37853813,0.60253507,0.01892683,1,Thread,0.99569392,0.00398849,0.99569392,0.00031751,1,Thread,0.74062234,0.25845942,0.74062234,0.00091823,1,Stock,0.96721464,0.96721464,0.03008019,0.00270524,0
274,Stock,Stock,0,Stock,0.51641256,0.51641256,0.46650639,0.01708107,1,Thread,0.96436912,0.03327946,0.96436912,0.00235147,0,Thread,0.57759213,0.42095882,0.57759213,0.00144907,0,Stock,0.96124607,0.96124607,0.03436822,0.00438568,1
275,Stock,Stock,0,Stock,0.57369179,0.57369179,0.41749421,0.00881399,1,Thread,0.99850094,0.00143935,0.99850094,0.00005973,0,Thread,0.96196365,0.03747124,0.96196365,0.00056510,0,Stock,0.97687644,0.97687644,0.02179345,0.00133014,1
276,Stock,Stock,0,Stock,0.52940089,0.52940089,0.45963752,0.01096164,1,Thread,0.99867791,0.00128416,0.99867791,0.00003790,0,Thread,0.93640852,0.06271880,0.93640852,0.00087270,0,Stock,0.97716409,0.97716409,0.02150515,0.00133077,1
277,Stock,Stock,0,Stock,0.51582074,0.51582074,0.47338733,0.01079195,1,Thread,0.99840778,0.00154447,0.99840778,0.00004778,0,Thread,0.93551368,0.06361286,0.93551368,0.00087341,0,Stock,0.97208571,0.97208571,0.02676954,0.00114468,1
278,Stock,Stock,0,Stock,0.57215625,0.57215625,0.41909477,0.00874890,1,Thread,0.99849904,0.00144108,0.99849904,0.00005987,0,Thread,0.95891744,0.04042684,0.95891744,0.00065571,0,Stock,0.97767639,0.97767639,0.02096837,0.00135521,1
279,Stock,Stock,0,Stock,0.54725468,0.54725468,0.44187298,0.01087231,1,Thread,0.99860233,0.00135719,0.99860233,0.00004048,0,Thread,0.93678576,0.06234226,0.93678576,0.00087210,0,Stock,0.97872549,0.97872549,0.01987916,0.00139540,1
280,Stock,Stock,0,Stock,0.56441194,0.56441194,0.42545819,0.01012986,1,Thread,0.99706799,0.00280770,0.99706799,0.00012431,0,Thread,0.93551463,0.06361195,0.93551463,0.00087341,0,Stock,0.97614872,0.97614872,0.02255583,0.00129550,1
281,Stock,Stock,0,Stock,0.57311970,0.57311970,0.41813216,0.00874820,1,Thread,0.99849880,0.00144139,0.99849880,0.00005989,0,Thread,0.95902950,0.04031645,0.95902950,0.00065401,0,Stock,0.97839546,0.97839546,0.02022314,0.00138145,1
282,Stock,Stock,0,Stock,0.55663520,0.55663520,0.43268818,0.01067671,1,Thread,0.99854136,0.00141597,0.99854136,0.00004271,0,Thread,0.93696254,0.06216570,0.93696254,0.00087181,0,Stock,0.97937804,0.97937804,0.01919567,0.00142618,1
283,Stock,Stock,0,Stock,0.57839382,0.57839382,0.41200405,0.00960218,1,Thread,0.99663430,0.00320947,0.99663430,0.00015621,0,Thread,0.93551421,0.06361232,0.93551421,0.00087342,0,Stock,0.97679591,0.97679591,0.02189111,0.00131301,1
284,Stock,Stock,0,Stock,0.57324392,0.57324392,0.41800749,0.00874863,1,Thread,0.99850035,0.00143991,0.99850035,0.00005979,0,Thread,0.96554714,0.03389887,0.96554714,0.00055404,0,Stock,0.97946519,0.97946519,0.01910160,0.00143323,1
285,Stock,Stock,0,Stock,0.56342530,0.56342530,0.42650533,0.01006946,1,Thread,0.99940026,0.00058744,0.99940026,0.00001221,0,Thread,0.95468718,0.04459059,0.95468718,0.00072224,0,Stock,0.97975200,0.97975200,0.01880980,0.00143817,1
286,Stock,Stock,0,Stock,0.58282793,0.58282793,0.40777099,0.00940108,1,Thread,0.99761343,0.00229492,0.99761343,0.00009170,0,Thread,0.93553644,0.06359039,0.93553644,0.00087324,0,Stock,0.97768676,0.97768676,0.02096613,0.00134706,1
287,Stock,Stock,0,Stock,0.57397318,0.57397318,0.41727379,0.00875309,1,Thread,0.99849975,0.00144033,0.99849975,0.00005982,0,Thread,0.96498823,0.03445188,0.96498823,0.00055993,0,Stock,0.97967440,0.97967440,0.01888115,0.00144445,1
288,Stock,Stock,0,Stock,0.56351775,0.56351775,0.42627975,0.01020249,1,Thread,0.99857450,0.00138444,0.99857450,0.00004111,0,Thread,0.94167334,0.05746099,0.94167334,0.00086556,0,Stock,0.97977442,0.97977442,0.01877837,0.00144729,1
289,Stock,Stock,0,Stock,0.59104341,0.59104341,0.39982548,0.00913113,1,Thread,0.99874145,0.00120678,0.99874145,0.00005179,0,Thread,0.94461775,0.05453737,0.94461775,0.00084493,0,Stock,0.97925860,0.97925860,0.01936005,0.00138140,1
290,Stock,Stock,0,Stock,0.57716167,0.57716167,0.41404533,0.00879296,1,Thread,0.99851698,0.00142434,0.99851698,0.00005873,0,Thread,0.97143370,0.02808557,0.97143370,0.00048075,0,Stock,0.97983950,0.97983950,0.01870818,0.00145224,1
291,Stock,Stock,0,Stock,0.59837925,0.59837925,0.39264941,0.00897133,1,Thread,0.99941671,0.00057150,0.99941671,0.00001179,0,Thread,0.97204316,0.02749899,0.97204316,0.00045783,0,Stock,0.97975206,0.97975206,0.01885067,0.00139718,1
292,Stock,Stock,0,Stock,0.58794504,0.58794504,0.40289697,0.00915804,1,Thread,0.99751854,0.00236862,0.99751854,0.00011290,0,Thread,0.93622583,0.06290659,0.93622583,0.00086751,0,Stock,0.97909296,0.97909296,0.01949810,0.00140885,1
293,Stock,Stock,0,Stock,0.57886487,0.57886487,0.41231969,0.00881543,1,Thread,0.99901783,0.00095278,0.99901783,0.00002937,0,Thread,0.97251588,0.02702335,0.97251588,0.00046070,0,Stock,0.97984934,0.97984934,0.01869792,0.00145269,1
294,Stock,Stock,0,Stock,0.59412551,0.59412551,0.39683560,0.00903892,1,Thread,0.99941790,0.00057038,0.99941790,0.00001175,0,Thread,0.97570020,0.02391330,0.97570020,0.00038648,0,Stock,0.97977072,0.97977072,0.01882155,0.00140778,1
295,Stock,Stock,0,Stock,0.63391316,0.63391316,0.35758495,0.00850184,1,Thread,0.99918026,0.00079261,0.99918026,0.00002717,0,Thread,0.97164392,0.02787443,0.97164392,0.00048157,0,Stock,0.97955567,0.97955567,0.01913275,0.00131162,1
296,Stock,Stock,0,Stock,0.59310693,0.59310693,0.39795142,0.00894173,1,Thread,0.99901545,0.00095505,0.99901545,0.00002949,0,Thread,0.97032446,0.02918558,0.97032446,0.00048994,0,Stock,0.97793305,0.97793305,0.02070434,0.00136259,1
297,Stock,Stock,0,Stock,0.50179386,0.50179386,0.48708028,0.01112588,1,Thread,0.99933177,0.00065302,0.99933177,0.00001514,0,Thread,0.94837916,0.05083045,0.94837916,0.00079032,0,Stock,0.97729754,0.97729754,0.02136660,0.00133587,1
298,Stock,Stock,0,Stock,0.62909508,0.62909508,0.36243644,0.00846850,1,Thread,0.99917394,0.00079867,0.99917394,0.00002738,0,Thread,0.96163231,0.03777421,0.96163231,0.00059351,0,Stock,0.97948682,0.97948682,0.01921085,0.00130234,1
299,Stock,Stock,0,Stock,0.70572215,0.70572215,0.28699630,0.00728160,1,Thread,0.99934000,0.00064529,0.99934000,0.00001461,0,Thread,0.97000074,0.02946778,0.97000074,0.00053148,0,Stock,0.97980589,0.97980589,0.01873485,0.00145936,1
300,Stock,Stock,0,Stock,0.61647993,0.61647993,0.37340993,0.01011013,1,Thread,0.99941790,0.00057035,0.99941790,0.00001175,0,Thread,0.98526406,0.01450371,0.98526406,0.00023216,0,Stock,0.97984946,0.97984946,0.01869803,0.00145255,1
301,Stock,Stock,0,Stock,0.57395065,0.57395065,0.41652814,0.00952124,1,Thread,0.99941742,0.00057081,0.99941742,0.00001177,0,Thread,0.98663020,0.01314839,0.98663020,0.00022148,0,Stock,0.97851938,0.97851938,0.02009444,0.00138615,1
302,Stock,Stock,0,Stock,0.70301914,0.70301914,0.28967690,0.00730399,1,Thread,0.99879837,0.00116095,0.99879837,0.00004055,0,Thread,0.96991843,0.02954889,0.96991843,0.00053268,0,Stock,0.97984397,0.97984397,0.01870167,0.00145440,1
303,Stock,Stock,0,Stock,0.61695164,0.61695164,0.37297735,0.01007105,1,Thread,0.99941778,0.00057049,0.99941778,0.00001175,0,Thread,0.98484510,0.01491965,0.98484510,0.00023530,0,Stock,0.97984958,0.97984958,0.01869773,0.00145256,1
304,Stock,Stock,0,Stock,0.67541146,0.67541146,0.31502396,0.00956468,1,Thread,0.99941790,0.00057029,0.99941790,0.00001175,0,Thread,0.98663086,0.01314769,0.98663086,0.00022146,0,Stock,0.97984672,0.97984672,0.01870201,0.00145122,1
305,Stock,Stock,0,Stock,0.70344496,0.70344496,0.28925890,0.00729616,1,Thread,0.99926001,0.00072220,0.99926001,0.00001781,0,Thread,0.97734559,0.02219872,0.97734559,0.00045561,0,Stock,0.97985005,0.97985005,0.01869719,0.00145274,1
306,Stock,Stock,0,Stock,0.61540419,0.61540419,0.37450013,0.01009568,1,Thread,0.99941778,0.00057039,0.99941778,0.00001175,0,Thread,0.98485339,0.01491127,0.98485339,0.00023524,0,Stock,0.97984928,0.97984928,0.01869839,0.00145233,1
307,Stock,Stock,0,Stock,0.68957657,0.68957657,0.30165642,0.00876698,1,Thread,0.99941790,0.00057035,0.99941790,0.00001175,0,Thread,0.98662359,0.01315490,0.98662359,0.00022157,0,Stock,0.97866404,0.97866404,0.02003546,0.00130053,1
308,Stock,Stock,0,Stock,0.69742924,0.69742924,0.29510924,0.00746152,1,Thread,0.99888569,0.00107844,0.99888569,0.00003589,0,Thread,0.97125602,0.02823414,0.97125602,0.00050985,0,Stock,0.97984993,0.97984993,0.01869737,0.00145278,1
309,Stock,Stock,0,Stock,0.58987397,0.58987397,0.40069342,0.00943266,1,Thread,0.99941742,0.00057075,0.99941742,0.00001176,0,Thread,0.98484647,0.01491829,0.98484647,0.00023529,0,Stock,0.97984833,0.97984833,0.01869977,0.00145187,1
310,Stock,Stock,0,Stock,0.62445569,0.62445569,0.36558333,0.00996094,1,Thread,0.99941790,0.00057034,0.99941790,0.00001175,0,Thread,0.98588711,0.01387777,0.98588711,0.00023500,0,Stock,0.97984809,0.97984809,0.01870012,0.00145177,1
311,Stock,Stock,0,Stock,0.69520700,0.69520700,0.29725611,0.00753693,1,Thread,0.99894804,0.00101934,0.99894804,0.00003262,0,Thread,0.97270638,0.02680563,0.97270638,0.00048805,0,Stock,0.97985005,0.97985005,0.01869722,0.00145275,1
312,Stock,Stock,0,Stock,0.57843679,0.57843679,0.41247582,0.00908746,1,Thread,0.99941409,0.00057399,0.99941409,0.00001189,0,Thread,0.98512357,0.01464325,0.98512357,0.00023322,0,Stock,0.97984523,0.97984523,0.01870405,0.00145079,1
313,Stock,Stock,0,Stock,0.61710548,0.61710548,0.37290835,0.00998622,1,Thread,0.99941790,0.00057031,0.99941790,0.00001175,0,Thread,0.98632950,0.01344362,0.98632950,0.00022695,0,Stock,0.97984642,0.97984642,0.01870280,0.00145088,1
314,Stock,Stock,0,Stock,0.69053626,0.69053626,0.30180237,0.00766137,1,Thread,0.99868387,0.00126883,0.99868387,0.00004728,0,Thread,0.96706098,0.03238844,0.96706098,0.00055061,0,Stock,0.97985005,0.97985005,0.01869718,0.00145274,1
